Name of Product,Batch No,Manufactured By,Reporting Month & Year
Alex Hand Sanitizer 1.01 FLOZ/30ML EBELE 9,EC/03/20,"Voda Chemicals Pvt. Ltd At: - M-158, Sec.5, Bawana Indl. Area, Delhi- 110039",01-04-2020
Limon Cello Hand Sanitizer 1.69 FLOZ/50ML EBELE 9,EC/03/20,"Voda Chemicals Pvt. Ltd Sec.5, Bawana Indl. Area, Delhi- 39",01-04-2020
Lignocaine With Adrenaline Injection IP,LAN-113A,"M/s. Pushkar Pharma, Bhandariwala, Kheri, Kala-Amb â?? 173030 (H.P.)",01-04-2020
Ketoconazole Shampoo (TRANS-KT ANTIDANDRUFF SHAMPOO),E1137,"M/s. Swisskem Healthcare, Khasra No. 77/3, bathri, Teh. Haroli, Distt. Una, (H.P.)",01-04-2020
Permethrine Soap (PERMITOP ANTISCABIES BATHING BAR ),E650,"M/s. Swisskem Healthcare, Khasra No. 77/3, bathri, Teh. Haroli, Distt. Una, (H.P.)",01-04-2020
Betamethasone Sodium Phosphate Tablets IP (BETACONE TABLETS),BSP-1080,"M/s. Theramax Laboratories, 63-D, Kailash Nagar, Ambala City â?? 134003.",01-04-2020
Rosuvastatin Tablets IP 10mg (ROZUDOC-10 TABLETS),RAE1901,"M/s. Maneesh Pharmaceuticals Ltd, Village Balyana, Barotiwala, Tehsil Kasaouli, Dist. Solan (HP)-174103",01-04-2020
Rosuvastatin Tablets IP 20mg (ROZUDOC-20 TABLETS),RTE1901,"M/s. ManeeshPharmaceuticals Ltd, Village Balyana, Barotiwala, Tehsil Kasaouli, Dist. Solan (HP)-174103",01-04-2020
Bond Instant Hand Sanitizer,A02,Not Mentioned,01-04-2020
Riboflavine Tablets I.P. 10 mg,2308,"M/s. Abicee Pharmaceuticals Pvt. Ltd., AT: 217, Mancheswar Industrial Estate, Sector - A, Zone - B, Bhubaneswar",01-04-2020
Salbutamol Sulphate Tablets I.P.,7193,"M/s. Adroit Pharmaceuticals Pvt. Ltd., 46, Garoba Maidan, Nagpur -8",01-04-2020
Cefotaxime Injection IP,AB029001A,"M/s. ANG Lifesciences India Ltd., Village Kishanpura, Nalagarh Road, Tehsil: Baddi, Distt.: Solan, HP- 174101",01-04-2020
"Alumina, Magnesia & Simethicone Oral Suspension IP",AME-1901,"M/s. Apple Formulations Pvt. Ltd. Plot No. 208, Kishanpur, Roorkee-247667 (U.K.)",01-04-2020
"Alumina, Magnesia & Simethicone Oral Suspension IP",AME-1902,"M/s. Apple Formulations Pvt. Ltd. Plot No. 208, Kishanpur, Roorkee-247667 (U.K.)",01-04-2020
Ferrous Sulphate & Folic Acid Tablets I.P. (Large),B80854,"M/s. Bochem Healthcare Pvt. Ltd., 83-84, Industrial Area, Dewas Road, Nagziri, Ujjain, M.P.-456010",01-04-2020
Ofloxacin Tablet I.P. 200 mg,BT4348,"M/s. Brilliant Life Sciences Pvt. Ltd., Chuval Dangarwa, Teh. Detroj, Distt. Ahmedabad, Gujarat, India",01-04-2020
Povidone -Iodine Ointment U.S.P. 20 gm,5,"M/s. Deep Pharma, Unit -2, Survey No 293/3, Behind Jalaram Mandir, Kalikund â?? Kheda Road, Dholka â?? 382225, Dist. Ahmedabad",01-04-2020
"Paracetamol, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup (COLDBEST-PC SYRUP)",DL4302,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala Amb, Distt. Sirmour (H.P.)- 173030",01-04-2020
"Paracetamol, Phenylephrine HCL and Chlorpheniramine Maleate Drops (COLDBEST-PC DROPS)",DVLD785,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala Amb, Distt. Sirmour (H.P.)- 173030",01-04-2020
"Paracetamol, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup (COLDBEST-PC SYRUP)",DL5872,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala Amb, Distt. Sirmour (H.P.)- 173030",01-04-2020
"Paracetamol, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup (COLDBEST-PC SYRUP)",DL5872,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala Amb, Distt. Sirmour (H.P.)- 173030",01-04-2020
"Paracetamol, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup (COLDBEST-PC SYRUP)",DL5872,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala Amb, Distt. Sirmour (H.P.)- 173030",01-04-2020
"Paracetamol, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup (COLDBEST-PC SYRUP)",DL5872,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala Amb, Distt. Sirmour (H.P.)- 173030",01-04-2020
"Paracetamol, Phenylephrine HCL and Chlorpheniramine Maleate Drops (COLDBEST-PC DROPS)",DVLD933,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala Amb, Distt. Sirmour (H.P.)- 173030",01-04-2020
"Paracetamol, Phenylephrine Hydrochloride and Chlorpheniramine Maleate Syrup (COLDBEST-PC SYRUP)",DL5028,"M/s. Digital Vision, 176, Mauza Ogli,Nahan Road, Kala Amb, Distt. Sirmour (H.P.)- 173030",01-04-2020
Pure ? Handrub Alcohol Hand Sanitizer (Chlorhexidine and Isopropyl Alcohol Handrub),EHX-117,"M/s. Dr. Edwin Lab, Plot No. 517, Indl. Area, Phase IX, SAS Nagar â?? 160 059 (Punjab)",01-04-2020
Primaquine Phosphate Tablets I.P. (PRIMELIFE),LGT-1739,"M/s. Globin Pharmaceuticals Pvt. Ltd., Puhana Chowk, Dehradun Roorkee (U.K)",01-04-2020
Rosuvastatin Tablets IP 10mg (ROSUSOFT-10 TABLETS),HBT-9393,"M/s. Haustus Biotech Pvt. Ltd., 44-45, Indl. Area, Tahliwal, Distt.Una (HP)",01-04-2020
Viro-Rub Hand Sanitizer Alcohol Hand Rub,Not applicable,"M/s. Hi Tech international, 18, Sector 6 Manesar, Gurugram 122001, India",01-04-2020
Viro-Rub Hand Sanitizer Alocohol Hand Rub,20208878,"M/s. Hi Tech International,18, Sector 6 Manesar, Gurgoan, India",01-04-2020
Viro-Rub Hand Sanitizer Alocohol Hand Rub,20208878,"M/s. Hi Tech International,18, Sector 6 Manesar, Gurugram, India",01-04-2020
Metoclopramide Inj. USP 10MG/2ML,HLI933A,"M/s. Himalaya Meditek Pvt.Ltd., Plot no. 35 & 36 Pharmacity, Selaqui, Industrial Area Dehradun- 248197",01-04-2020
Calcium with Vitamin D3 Tablets,TAK8109AL,"M/s. Hindustan Laboatories, Plot No. 5-9, Survey No. 38/2, Aliyali, Palghar (W), Dist. Palghar, 401404 Maharashtra",01-04-2020
Good Clean Hand Sanitizer With Aloe and Moisturizers,1,"M/s. JR & Co., DLF Ind. Area, Kirti Nagar, New Delhi 15",01-04-2020
Gauze Swabs B.P. :88: Type 17,1907225,"M/s. Premier Enterprises, Chatrapatti -626 102",01-05-2020
Fungdid- B Cream (Clotrimazole with Beclomethasone Dipropionate Cream)15 g,19285,"M/s. Rednex Pharmaceuticals, LS No-142, Nr. HBS, Chacharvadi Vasna, Ta Sanand, Di. Ahmedabad",01-05-2020
Fungdid- B Cream (Clotrimazole with Beclomethasone Dipropionate Cream)15 g,19170,"M/s. Rednex Pharmaceuticals, LS No-142, Nr. HBS, Chacharvadi Vasna, Ta Sanand, Di. Ahmedabad",01-05-2020
Onstal - 4 (Ondansetron Tablets IP 4 mg),T2227,"M/s. Stallion Laboratories, Pvt. Ltd., C-1B, 305/2, 3, 4 & 5, G.I.D.C, Kerala (Bavla), Distt. Ahmedabad â?? 382220, Gujarat, India",01-05-2020
Calcigard -10 (Nifedipine Capsules IP),S175E004,"M/s. Torrent Pharmaceuticals Ltd., At: Plot No. 708/6, Behind Somnath Road, Dabhel Village, Nani Daman -396215",01-05-2020
Dexamethasone Injection IP (Uni- Dexa Injection),ULI-180019,"M/s. Unital Formulations 144- B EPIP, Phase-1, Jharmajri Baddi, Solan (H.P.)",01-05-2020
Alprazolam Tablets IP,TAZP-003,"M/s. Medipol Pharmaceutical India Pvt. Ltd., 1199/3, Bhud, Baddi, Distt. Solan, H.P. India",01-05-2020
Metoclopramide Hydrochloride Injection IP 5 mg/ml,MEI1902,"M/s. Modern Laboratories 45-47, Sector D-2, Sanwer Road, Indore (M.P.) 452015, India",01-05-2020
ReGermina (Prebiotic & Probiotics Capsules),P90087,"M/s. Morepen Laboratories Limited, Plot. No 12-B, Sector-2, Parwanoo, Dist. Solan (H.P.) -173220",01-05-2020
Clonazepam Tablets I.P. (Clozep 0.5 mg),T-19281,"M/s. Jackson Laboratories Pvt. Ltd., 22-24, Majitha Road, Bye Pass, Amristar - 143001",01-05-2020
"Iofer -12 (Iron, Folic Acid & Vitamin B 12 Capsules)",RW19002,"M/s. Ortin Laboratories Ltd., 275 & 278 (part), I.D.A. Pashamylaram -502307, Medak Dist., Andhra Pradesh",01-05-2020
"Iofer -12 (Iron, Folic Acid & Vitamin B 12 Capsules)",RW19002,"M/s. Ortin Laboratories Ltd., 275 & 278 (part), I.D.A. Pashamylaram -502307, Medak Dist., Andhra Pradesh",01-05-2020
Ofloxacin Tablets IP (Floxa-200 Tablets),GPT76,"Anecxa Pharma Sector-8A, Bhel Township, Salarapu Mahdood (U.K.)-249403",01-05-2020
Nucerin -50 Capsules (Diacerein Capsules I.P. 50 mg),MC19145,"M/s. Mascot Health Services Pvt. Ltd., Plot No. 79, 80, Sec-6A, IIE, Sidcul, Haridwar â?? 249403",01-05-2020
Cefpodoxime Tablets I.P. 200 mg,GSM2T9I002,"M/s. Nootan Pharmaceuticals, Vill: Tripta, Barotiwala, Dist-Solan (H.P) 174103",01-05-2020
P-QUIN-2.5 (Primaquine Tablets I.P. 2.5 mg),T1903,"M/s. Quest Laboratories Pvt. Ltd., Plot No. 45, Sector-III, Pithampur, Dist. Dhar- 454775, (M.P)",01-05-2020
Levetiracetam Injection (Nuatam Injection),L2001/17,"M/s. SBS Biotech Mouza Rampur Jattan, Nahan Road, Kala Amb, Dist. Sirmour (H.P.)",01-05-2020
Ferrous Sulphate and Folic Acid Syrup I.P.,19579,"M/s. HLL Lifecare Limited Kangala-591225, Dist-Belgaum, Karnataka, Works at: 72/5, Muradpura (Orangpura), Dhar Road, Near Kalaria, Indore 453001 (M.P)",01-05-2020
Ferrous Sulphate and Folic Acid Syrup I.P.,19583,"HLL Lifecare Limited Kangala-591225, Dist-Belgaum, Karnataka, Works at: 72/5, Muradpura (Orangpura), Dhar Road, Near Kalaria, Indore 453001 (M.P)",01-05-2020
Ferrous Sulphate & Folic Acid Tablets I.P. (Large),19574,"HLL Lifecare Limited Kangala-591225, Dist-Belgaum, Karnataka, Works at: 72/5, Muradpura (Orangpura), Dhar Road, Near Kalaria, Indore 453001 (M.P)",01-05-2020
Ferrous Sulphate and Folic Acid Syrup I.P.,19581,"HLL Lifecare Limited Kangala-591225, Dist-Belgaum, Karnataka, Works at: 72/5, Muradpura (Orangpura), Dhar Road, Near Kalaria, Indore 453001 (M.P)",01-05-2020
Ferrous Sulphate and Folic Acid Syrup I.P.,19580,"HLL Lifecare Limited Kangala-591225, Dist-Belgaum, Karnataka, Works at: 72/5, Muradpura (Orangpura), Dhar Road, Near Kalaria, Indore 453001 (M.P)",01-05-2020
Atorfirst-10 (Atorvastatin Tablets IP 10 mg),BT-0364,"M/s. Bayberry Pharmaceuticals Pvt. Ltd., At. Plot No.45, HIMUDA, Ind., Area, Bhatolikalan, Dist. Solan, H.P.",01-05-2020
Cipjohn 500 (Ciprofloxacin Tablets I.P. 500 mg),HTN813D,"M/s. Himalaya Meditek Pvt. Ltd., Plot No. 35 & 36, Pharmacity, Selaqui Industrial Area, Dehradun - 248197",01-05-2020
DOXIN - 75 (Doxepin Hydrochloride Capsules I.P. 75 mg),NW2013,"M/s. Intas Pharmaceuticals Ltd., Samardung Road, Kabrey Block, Namthang Elaka, South Sikkim - 737132, India",01-05-2020
Calcium And Vitamin D3 Tablets IP,CVDT-1384,"M/s. Wings Biotech 43 & 44 HPSIDC, Industrial Area, Baddi-173205 (H.P.)",01-06-2020
Calcium And Vitamin D3 Tablets IP,CVDT-1653,"M/s. Wings Biotech 43 & 44 HPSIDC Industrial Area, Baddi-173205 (H.P.)",01-06-2020
Dextromethorphan hydrobromide and Chlorpheniramine Maleate Syrup (Heel-DX Syrup),YHL-39,"M/s. Yashwin Healthcare, Village Shahpur Taga, Ganaur, Sonipat-131001 (HR.)",01-06-2020
Sustained Release Capsules of Ferrous Sulphate with Folic Acid (Folron Capsules),F921K901,"M/s. ZIM LABORATORIES LTD., B-21/22, MIDC, Area, Kalmeshwar-441501, Dist.Nagpur, Maharashtra",01-06-2020
Auditon-MD 8 Tablets (Ondansetron Orally Disintegrating Tablets IP 8 mg),RT181032,"M/s. Rachil Pharma, 18-19, Phase â?? I, Ind. Area, Sansarpur Terrace, Distt. Kangra (H.P.) â?? 176501",01-06-2020
Nitrobact-100 (Nitrofurantoin Capsules U.S.P.),A6JQS030,"M/s. Swiss Garnier Biotech Pvt. Ltd., 21, Ind. Area, Mehatpur, Dist. Una, Himachal Pradesh-74315",01-06-2020
Eudox-100 (Doxycycline Capsules I.P.),EDX-1006,"M/s. Ultra-Chiron Pharmaceuticals Pvt. Ltd., 575, Phase-IX, Industrial Area, Mohali-160062 Punjab",01-06-2020
Absorbent Guaze,304,"M/s. Balu Surgicals, 1/243, Labhvinayagar Kovil Street, Samusigapuram-626102 Tamil Nadu",01-06-2020
Doxyrap-100 (Doxycycline & Lactic Acid Bacillus Tablets),DET-02830,"M/s. Dr. Edwin Lab Plot No. 517, Indl. Area, Phase IX, Sas Nagar-160059 (PB)",01-06-2020
Cefotaxime Sodium Injection IP 250 mg,322,"M/s. Hindustan Antibiotics Ltd., Pimpri, Pune -411018",01-06-2020
Mometran Cream (Mometasone Furoate Cream IP),716,"M/s. Mascot Health Series Pvt. Ltd., Plot No. 79, 80, Sector-6A, IIE Sidcul, Haridwar-249403 (Uttarakhand)",01-06-2020
Glicot -60 (Gliclazide Extended release Tablets 60 mg),MT190903,"M/s. Mascot Health Series Pvt. Ltd., Plot No.79,80, Sector 6A, IIE, SIDCUL, Haridwar -249403, India (Uttarakhand)",01-06-2020
Telmisartan Tablets I.P. 20 mg,TLMT703,"M/s. Unicure India Ltd., C-21, 22 & 23 Sector - 3, Noida-201301, Distt. Gautam Budh Nagar (U.P.)",01-06-2020
Setnorm ? 4 (Ondansetron Tablets IP 4 mg),SMT610Z,"M/s. Unicure India Ltd., C-21, 22 & 23 Sector - 3, Noida-201301, Distt. Gautam Budh Nagar (U.P.)",01-06-2020
Amoxycillin and Potassium Clavulanate Tablets IP,18A310,"M/s. Astam Healthcare Pvt. Ltd., Vill. Theda, Teh. Nalagarh, Distt. Solan-174101 (H.P.)",01-06-2020
Thyroxine Sodium Tablets IP 50 mcg (Thyroute 50 Tablets),LTA-4081,"M/s. Life Vision Healthcare, Plot No.140-141, E.P.I.P., Phase-I, Jharmajri, Baddi, Distt.Solan (H.P.)-174103",01-06-2020
Fexcor-120 (Fexofenadine Hydrochloride Tablets I.P. 120 mg),OBRP01,"M/s. Akums Drugs & Pharmaceuticals Ltd., 19, 20, 21 Sector -6A, I.I.E, SIDCUL, Ranipur, Haridwar-249403, India",01-06-2020
"Bhringraj Hair oil 200 ml. (Liquid Parafin 55% vegetable oil including seasame oil, Eclipta Alba)",A0014,"M/s. Ananya Herbal Pvt. Ltd., Khasra no. 6/67/8/2 min 10- village, Safiabad Dist. Sonepat Haryana-131209",01-06-2020
"Ocupol Dx. (Polymyxin B Sulphate, Chloramphenicol & Dexamethasone Eye/Ear Drops)",CB013,"M/s. Centaur Pharmaceuticals Pvt. Ltd., At. Vidhyanagar, Margao, Goa-403601",01-06-2020
Pioglitazone & Metformin Hydrochloride (Prolonged Release) Tablets,CT9620,"M/s. Cian Healthcare Ltd., Kh. No. 248, Village Sisona, Bhagwanpur, Roorkee, Haridwar, Uttarakhand, India",01-06-2020
(CALCIUM AND VITAMIN D3 TABLETS IP),CVDT-1371,"M/s. Wings Biotech, 43 & 44 HPSIDC Industrial Area, Baddi ? 173205 (H.P.)",01-07-2020
Zepara ? XT Tablets 650 mg (Paracetamol Tablets 650 mg),419-412,"M/s. Zee Laboratories, 47 Industrial Area, Paonta Sahib ? 173025, Himachal Pradesh",01-07-2020
PREGINATE (Doxylamine Succinate & Pyridoxine Hydrochloride Tablets),ZD19107,"M/s. Skymap Pharmaceuticals Pvt. Ltd., B?3, Dev Bhoomi Industrial Estate, Puhana, Iqbalpur Road, Roorkee ? 247667",01-07-2020
Levocetirizine Hydrochloride Tablets I.P. 5 mg,SHT8188,"M/s. Syncom Healthcare Limited, D?42, IIE, Sidcul, Selaqui, Dehradun ? 248197 (Uttarakhand)",01-07-2020
Zonerab (Rabeprazole Sodium Gastro- Resistant Tablets I.P.),ZRB?12,"M/s. VADSP Pharmaceuticals, Plot No. 124, E.P.I.P., Ind. Area, Phase?1, Jharmajri, Baddi (H.P.)",01-07-2020
Isopropyl Alcohol 70% Hand Sanitizer (SANEZER HAND SANITIZER),NPE003,"M/s. Noel Pharma (India) Pvt. Ltd., Khasra No. 66/3 & 67/2, Juddi Kalan, Baddi, Distt. Solan (H.P.) ? 173205",01-07-2020
(OLIBLISS HAND CLEANSER GEL),BSAS001,"M/s. Olicare Cosmoceuticals, 2nd Floor, Property No. 152, Pocket-L, Sector-3, DSIIDC, Bawana Industrial Area, Delhi ? 110039",01-07-2020
(ULTRA NATURE HANDRUB),6,"M/s. S.M. Herbal Solutions, Libaspur, Delhi",01-07-2020
70% Alcohol Hand Cleanser (SEVEN SEAS),140,"M/s. Seven Seas Beauty Products, G.T. Karnal Road Indl. Area, Delhi?33",01-07-2020
"Calcium Carbonate, Methylcobalamin, L-Methyl Folate, Pyridoxal 5 Phosphate and Vitamin D3 Tablets (VERECAL PLUS TABLETS)",SPT-2070,"M/s. Spectrum Formulation Pvt. Ltd., Khasra No.12, Makhanpur, Bhagwanpur, Roorkee, Haridwar (U.K.)",01-07-2020
Ramigal 5 (Ramipril Tablets I.P. 5 mg),VG8034,"M/s. Visa Drugs & Pharmaceuticals Pvt. Ltd., Village Gullerwala, Near Sai Road, Baddi, Distt. Solan ? 173205 (H.P.)",01-07-2020
(MAYGRISS SANITIZER),VES-140,"M/s. Vive Cosmetics, Plot 773, Sector 82, JLPL Industrial Area, Mohali, Punjab",01-07-2020
70% Alcohol (KAZIMA COSMETICS TEA TREE HAND CLEANSING GEL),BK001,"M/s. Kazima Cosmetics, 309, First Floor, Patparganj Indl. Area, New Delhi ? 110092",01-07-2020
Ondansetron Tablets I.P. 4 mg,LB19001,"M/s. Mars Therapeutics & Chemicals Ltd., 4-4/1/2, Dommarapochampally Village, Quthubullapur Mandal, Medchel/Malkajgiri Dist., Telangana ? 500043",01-07-2020
Diclofenac Potassium and Paracetamol Tablets (AMGESIC TABLETS),MT-19I04,"M/s. Martin & Brown Bio-Sciences, K.No. 918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.)",01-07-2020
Paracetamol Tablets IP 500 mg,MT-18258,"M/s. Maxchem Pharmaceuticals Pvt. Ltd., Plot No. 22, Sec 03, Sidcul IIE, Rudrapur, Distt. U.S. Nagar (Uttarakhand)",01-07-2020
Nefidinol Retard- 10 Tablets,T8120289,"M/s. Rhydburg Pharmaceuticals Ltd., C2&3, S.I.E.L, Selaqui, Dehradun (U.K.)",01-07-2020
Domperidone & Omeprazole Capsules (ROCID D CAPSULES),RC-010,"M/s. Ronak Life Care Pvt. Ltd., R.S. No.: 41 (Part), At & Post Fajpur, Dist. Patan ? 384265, Gujarat",01-07-2020
Ethanol and Isopropyl Alcohol (MEDI-PLUS INSTANT HAND SANITIZER),F512,"M/s. Swisskem Healthcare, Khasra No. 77/3, Bathri, Tehsil Haroli, Distt. Una (H.P.)",01-07-2020
Glimepiride Tablets I.P. 2mg.,MT182240,"M/s. Mascot Health Series Pvt. Ltd., Plot No. 79, 80, Sector-6A, IIE, SIDCUL, Haridwar ? 249403 (U.K.)",01-07-2020
"Methylcobalamin, Folic Acid, Alpha Lipoic Acid, Pyrodoxine HCI, Chromium Picolinate and Selenium Tablets (M-NEURON PLUS TABLETS)",HMP 113,"M/s. Med Manor Organics Pvt. Ltd., Unit-II, KH-No. 143M/7, Village Raipur Pargana Bhagwanpur, Tehsil Roorkee, Distt. Haridwar, Uttarakhand ? 247661",01-07-2020
Isopropyl Rubbing Alcohol IP (ADDIISURE INSTANT HAND SANITIZER),393,"M/s. Addii Biotech Pvt. Ltd., Vill. Kaundi, P.O. Thana, Teh. Baddi, Distt. Solan ? 173205 (H.P.)",01-07-2020
(FLUCONAZOLE INJECTION USP 0.2% W/V),A9123,"M/s. Aishwarya Healthcare, Vill. Thana, Baddi, Himachal Pradesh ? 173205",01-07-2020
(ESCITALOPRAM TABLETS I.P. 10 MG),ATT-110,"M/s. Alliaance Biotech, 440/3, Vill. Katha, Baddi, Solan (H.P.) ? 173205",01-07-2020
(BEARD HOOD HAND CLEANER),J031,"M/s. Ambrosia Herbals, 317, FIE Patparganj, Industrial Area, Delhi ? 110092",01-07-2020
(PANCHVATI HAND CLEANSER GEL),HCG.106,"M/s. Baldev Industries, 103?DSIDC, Okhla Ph-1, New Delhi ? 20",01-07-2020
Pantoprazole Tablets I.P. 40 mg,PNT94087,"M/s. Caplet India Private Limited, 284/1, Bangur Avenue, Block B, Kolkata ? 700135, Works: Rekjuani, Kolkata ? 700135",01-07-2020
(CARVEDILOL TABLETS IP 6.25 MG),CADG904001,"M/s. Celebrity Biopharma Ltd., Vill. Panga, Jharmajri, Hilltop Estate, Barotiwala, Distt. Solan, H.P. ? 174103",01-07-2020
Sterile Inner Cavity Medical Stents and Introducer System (Esophageal Stent),20190731-09,"M/s. Changzhou New District Garson Medical Stent Apparatus Co. Ltd., No. 06, Huanbao 8 Road, Huanbao Industry Zone, New Zone, New District Changzhou, Jiangsu, P.R. China ? 213022",01-07-2020
(CIPROFLOXACIN TABLETS I.P. 500 mg),DT-042,"M/s. Daffodills Pharmaceuticals Ltd., Jawahar Nagar, Rohta Road, Meerut ? 250001, Uttar Pradesh",01-07-2020
Isopropyl Alcohol Emollients and Moisturizer Hand Rub IP (PURE- HANDRUB PLUS),EHX-281,"M/s. Dr. Edwin Lab, Plot No. 517, Indl. Area, Phase IX, SAS Nagar ? 160059 (Pb.)",01-07-2020
(MOIST HAND SANITIZER GEL),16401,"M/s. Gary Pharmaceuticals P Limited, Off NH-95, VPO Heeran ? 141112 (Punjab)",01-07-2020
(ALBENDAZOLE TABLETS IP 400 MG),3285,"M/s. Healthy Life Pharma Pvt. Ltd., N-31/1, MIDC, Tarapur, Dist. Palghar, Boisar ? 401506, Maharashtra",01-07-2020
(SEEJAL +INSTANT HAND SANITIZER),JDL-1719,"M/s. Jpee Drugs, Plot No. 53, Sector 6-A, SIDCUL, Haridwar (Uttarakhand)",01-07-2020
Levocetirizine Tablets I.P. 5 mg,9700719,"M/s. Karnataka Antibiotics & Pharmaceuticals Ltd., Plot No. 14, II Phase, Peenya, Bengaluru ? 560058",01-07-2020
(Allyn Instant Dry Hand Rub),PKE-06,"M/s. P.K. Cosmetics, C-152, Sector-2, DSIIDC, Bawana Industrial Area, Delhi-110039",01-08-2020
Diclofenac gel B.P. 1% w/w,8916,"M/s. Syncom Healthcare Ltd., D-42, IIE SIDCUL, Selaqui, Dehradun-248197, Uttarakhand",01-08-2020
"Clidinium Bromide, Chlordiazepoxide and Magnesium Hydroxide Tablets (Ulcon Tablets)",ULGT20031,"M/s. Unimarck Healthcare Ltd., Plot No. 25 & 37, Sector-6A, SIDCUL, Haridwar-249403 (Uttarakhand)",01-08-2020
Winpress-XL 5mg (Prazosin Hydrochloride Sustained Release Tablets),PST9001,"M/s. Vivimed Labs Limited, D-125 & 128, Phase III, IDA, Jeedimetla, Hyderabad-500055, Telangana",01-08-2020
"Vitamin C, Vitamin B-12, Folic Acid and Niacinamide Injection (Eldervit-12 Im/Iv Drip)",20NI0212,"M/s. Nuclotec Remedies Pvt. Ltd., 14-Mile Stone, Rudrapur-Kashipur Road, Gadarpur, Distt. U.S. Nagar, (Uttarakhand)-263152",01-08-2020
New Fame N Love Fairness Cream,5,M/s. P.C. Cosmetics,01-08-2020
(Allyn Instant Dry Hand Rub),PKEA-07,"M/s. P.K. Cosmetics, C-152, Sector-2, DSIIDC, Bawana Industrial Area, Delhi-110039",01-08-2020
"Vitamin C, Vitamin B-12, Folic Acid and Niacinamide Injection ( Eldervit- 12 Im/Iv Drip)",20NI0210,"M/s. Nuclotec Remedies Pvt. Ltd., 14-Mile Stone, Rudrapur-Kashipur Road, Gadarpur, Distt. U.S. Nagar, (Uttarakhand)-263152",01-08-2020
Ethyl Alcohol Solution 70% (Handzon Instant Hand Sanitizer),HDZC-016,"M/s. RPL (India) Pharmaceuticals Pvt. Ltd., D-8/5 & D-8/6, Okhla Industrial Area, Phase-1, New Delhi-110020",01-08-2020
"Ethyl Alcohol, Isopropyl Alcohol and Niacinamide Hand Sanitizer Gel ( Tanzo)",SM041,"M/s. Swiss Biotech Parentrals, Kewat No. 1138, VPO Kachhwa, Karnal-132001 (Haryana)",01-08-2020
Instant Hand Sanitizer Original Alcohol Based (Safe Me Sanitizer),SM/2020/508,"M/s. KDM Goldstar Co., New Delhi-110019",01-08-2020
Cefixime Dispersible Tablets (Micfox-100 Dt Tablets),FBT19-186B,"M/s. Athens Life Sciences, Mauza Rampur Jattan, Nahan Road, Kala Amb, Distt. Sirmour, H.P.-173030",01-08-2020
Folic Acid Tablets I.P. 5mg.,T9125,"M/s. Bharat Parenterals Ltd., Vill. Haripura, Ta. Savli, Dist. Vadodara-391520, Gujarat",01-08-2020
Advanced Hand Rub 70% Alcohol (RYAAL),BO208586,"M/s. Bo International, A91, Wazirpur Industrial Area, New Delhi-110052",01-08-2020
Aciclovir Tablets IP (Herpivir-800 Tablets),DVT197055,"M/s. Digital Vision, 176, Mauza Ogli, Nahan Road, Kala-Amb, Distt. Sirmour (H.P.)-173030",01-08-2020
Halopar (Haloperidol Injection IP 5mg/ml) 1ml.,DP9004,"M/s. Divine Laboratories Pvt. Ltd., Block No. 471, Dabhasa, Ta. Padra, Dist. Vadodara",01-08-2020
Amoxycillin & Potassium Clavulanate Tablets IP 625 mg (Amzeclav-625 Tablets),KPT-3348,"M/s. G Nine Bioceuticals Pvt. Ltd., 208-F, Sector-3, HSIDC Industrial Estate, Karnal-132001 (Haryana)",01-08-2020
Hypodermic Syringe 2ml.,19501,"M/s. Gurumangalam International, Rancharda-382115, Ta. Kalol, Dist. Gandhinagar",01-08-2020
Hypodermic Syringe 2ml.,19503,"M/s. Gurumangalam International, Rancharda-382115, Ta. Kalol, Dist. Gandhinagar",01-08-2020
Hypodermic Syringe 5ml.,19703,"M/s. Gurumangalam International, Rancharda-382115, Ta. Kalol, Dist. Gandhinagar",01-08-2020
Isopropyl Alcohol and Chlorhexidine Gluconate Hand Sanitizer (Vibpure Hand Sanitizer),231H,"M/s. Haustus Biotech Pvt. Ltd., 44-45, Ind. Area, Tahliwal, Distt. Una (H.P.)",01-08-2020
Ethanol Hand Sanitizer (Instawash Hand Sanitizer),247H,"M/s. Haustus Biotech Pvt. Ltd., 44-45, Ind. Area, Tahliwal, Distt. Una (H.P.)",01-08-2020
Clopidogrel & Aspirin Tablets,TACB-010,"M/s. Medipol Pharmaceutical India Pvt. Ltd., 1199/3, Bhud, Baddi, Distt. Solan (Himachal Pradesh)",01-09-2020
